virtue how fragile </br> friendship how rare </br> i love how he sells poor happiness </br> for proud despair </br> but we thought they were falling soon </br> survive their joy and all </br> what we call ours	awe/sublime, sadness
take the burden of the white man </br> savage wars of peace </br> fill your mouth with famine </br> and say the disease stop </br> and when your goal is closest </br> the end for others wanted </br> watch laziness and pagan madness </br> lower all your hopes	vitality, uneasiness
i wandered every charter street </br> near where the chartered thames flows </br> a mark on every face i meet </br> marks of weakness marks of unhappiness	sadness
is there for honest poverty </br> who turns his head and who </br> the cowardly slave - we overtake him </br> we dare to be poor for one </br> for a 'that a' a 'who </br> our sorrows obscure an 'a' who </br> rank is just the stamp of guinea </br> man is the gowd for a 'who	vitality, sadness
he has no future but himself </br> its infinite realms contain </br> his enlightened past to perceive </br> new periods of pain	sadness
how can those vague terrified fingers grow </br> the feathered glory of her sagging thighs </br> and how can the body be lying in this white race </br> but feel the strange heart beating where it is	suspense, uneasiness
which hammer which chain </br> in which furnace was your brain </br> what is the anvil that terror seizes </br> dare his mortal terrors clasp	uneasiness
rose leaves when the rose died </br> are crammed for the beloved bed </br> and so your thoughts when you're gone </br> love itself will sleep	sadness, beauty/joy
pause pause pause </br> at the foot of your rocks o sea </br> but the tender grace of a dead day </br> will never come back to me	vitality, sadness
o </br> baby </br> i	suspense, humor
shining star would i be faithful like you - </br> not in lonely splendor hung up at night </br> and watch with eternal eyelids parted </br> like the sleepless hermit nature patient </br> moving waters to their priestly task </br> pure ablutions around the human coasts of the earth </br> or looking at the new fallen soft mask </br> of snow on the mountains and the moors - </br> no, but still stable, still unchangeable </br> pillow on the mature breast of my beautiful love </br> forever feel its gentle fall and its swell </br> forever awake in gentle turmoil </br> again to hear his tender breath </br> and thus never live - or else faint to death	awe/sublime, vitality, sadness, beauty/joy
in vain in vain - the hour of composition </br> falls without resistance, the muse obeys power </br> she comes she comes the sand throne here </br> of the primitive night and the old chaos </br> before its golden clouds fall apart </br> and all her different rainbows are dying </br> the spirit shoots its momentary fires in vain </br> the meteor falls and in a flash expires </br> like one by one to the stump of dread medea </br> diseased stars disappear from the ethereal plane </br> like the eyes of argus by the wand of hermes opprest </br> closed one by one to eternal rest </br> thus to his felt approach and his secret power </br> art after art comes out and all is night </br> see the truth hidden in his old leaked cave </br> mountains of casuistry heaps o er his head </br> philosophy that relied on the sky before </br> is reduced to its second cause and is no longer </br> the physics of metaphysics demands the defense </br> and the metaphysical appeals for help in the sense </br> see the mystery of mathematics fly </br> in vain they watch become dizzy and die </br> religion blushing veils its sacred fires </br> and morality expires unexpectedly </br> so that the public nor the private flame dares to shine </br> neither the human spark is left nor a divine glimpse </br> where your dreaded empire chaos is restored </br> the light dies before your uncreative word </br> your great anarch hand let the curtain fall </br> and the universal darkness buries everything	suspense, sadness, uneasiness
of this theater of worlds in which we stay </br> my love as the viewer sits ydly </br> seeing me that all the contests are playing </br> variously disguising my troubled minds </br> sometimes i rejoice when a happy occasion suits me </br> and mask in myrth lyke at a comedy </br> soone after when my joy of sorrow floats </br> i cry and make my misfortunes a tragedy </br> yet she looks at me with a constant eye </br> do not rejoice in my merth nor regret my sweetie </br> but when i laugh she laughs and when i cry </br> she laughs and still hardens her heart </br> what then can move her if neither merth nor mone </br> she is not a woman but a stone without meaning	sadness, beauty/joy
my blood approves </br> and kisses are a better fate </br> that wisdom </br> lady i swear by all the flowers don't cry </br> - the best gesture of my brain is less than </br> your eyelids flutter what says	beauty/joy
i taste a liquor never brewed </br> mugs collected in the pearl </br> not all tanks on the rhine </br> give such alcohol	vitality, beauty/joy
music when sweet voices die </br> vibrates in memory - </br> smells when sweet violets get sick </br> live in the sense that they accelerate	sadness, beauty/joy
after hae i rov d by bonie doon </br> see woodbine string </br> and the ilka bird sang his luve </br> and how do i have mine </br> wi 'lightsome heart i pu d a rose </br> on its thorny tree </br> but my cause the liver remains my rose </br> and left the thorn with me </br> wi 'lightsome heart i pu d a rose </br> a morning in june </br> and sae i thrived in the morning </br> and it was late or noon	sadness, beauty/joy
my heart leaps when i see </br> a rainbow in the sky </br> it was also when my life started </br> so is it now i am a man </br> so be it when i get old </br> or let me die </br> the child is the father of man </br> and i could wish that my days were </br> bound each to each by natural piety	vitality, beauty/joy
surely a revelation is at hand </br> surely the second coming is at hand </br> the second coming is hardly those words </br> when a vast image of spiritus mundi </br> cloud my sight somewhere in the desert sands </br> a form with a lion's body and a man's head </br> a blank and ruthless gaze like the sun </br> move her slow thighs as all around her </br> shadows of indignant desert birds </br> darkness falls but now i know </br> that twenty centuries of stony sleep </br> were vexed to the nightmare by a rocking cradle </br> and what a rude beast his hour finally comes </br> leans towards bethlehem to be born	suspense, uneasiness
i wonder by my faith what you and me </br> until we love if we haven't weaned </br> but sucked the pleasures of the countryside childishly </br> or we sniffed in the den of the seven sleepers </br> it's true, but all pleasures are meant </br> if ever a beauty that i saw </br> what i wanted and got was just a dream from you	beauty/joy
how sad to be someone </br> how public like a frog </br> to say your name all day </br> in an admiring bog	humor, sadness
bright burning tyger tyger </br> in the night forests </br> what an immortal hand or eyes </br> dare to frame your terrible symmetry	awe/sublime, beauty/joy
some might complain of being cold </br> like me when this sweet day passed </br> whose lost heart has aged too soon </br> insults with this untimely moan </br> they might complain - because i'm a </br> that men do not like - and yet regret </br> unlike that day when the sun </br> must on her set of stainless glory </br> will linger although appreciated as a joy in the memory still	sadness
"i met a traveler from an ancient country </br> who said two vast, trunkless stone legs </br> to stand in the desert near them on the sand </br> half-pressed a broken face lies whose frown </br> and wrinkled lip and cold command sneer </br> say that his sculptor has read these passions </br> that still survive engraved on these lifeless things </br> the hand that laughed at them and the heart that fed them </br> and on the pedestal these words appear </br> ""my name is the king of kings ozymandias </br> look at my works, you are powerful and desperate ” </br> nothing else remains around decay </br> of this colossal infinite and naked wreck </br> the lonely and flat sands extend far away"	suspense, sadness, uneasiness
as all the heavens were a bell </br> and be just an ear </br> and me and silence a strange race </br> lonely castaway here	awe/sublime, sadness
the flower that smiles today </br> tomorrow dies </br> all we wish to stay </br> tent then fly </br> what is the delight of this world </br> the lightning that laughs at the night </br> in short, even as brilliant	awe/sublime, sadness
you see your birkie ca d a lord </br> wha struts around and looks at an 'a' who </br> the hundreds worship at his word </br> he is but a coof for a 'who </br> for a 'that a' a 'who </br> his ribbon star an 'a' who </br> the independent-minded man </br> he looks and laughs about it	vitality, humor
my captain does not answer his lips are pale and still </br> my father does not feel my arm he has neither pulse nor will </br> the ship is anchored safe and sound her voyage is over and over </br> from a scary journey, the winning ship arrives with the won item </br> exult on the shores and ring the bells </br> but me with a sad step </br> walk on the bridge my captain is lying </br> fell cold and died	vitality, sadness
ah how sweet to love </br> ah how gay is young desire </br> and what pleasant pains we experience </br> when we first approach the fire of love </br> the pains of love be sweeter away </br> than all other pleasures	vitality, beauty/joy
the morning becomes aware </br> faint smells of beer </br> of the street trampled by sawdust </br> with all his muddy feet pressing </br> at the first coffee stands </br> with the other masquerades </br> this time resumes </br> we think of all hands </br> that raise dull undertones </br> in a thousand furnished rooms	vitality, beauty/joy
i carry your heart i carry it in my heart	beauty/joy
a silent patient spider </br> i mark where on a small promontory it was isolated </br> mark how to explore the vast vacant environment </br> it throws a filament of filament forward out of itself </br> never unroll them without ever accelerating them	vitality, sadness
but most in the midnight streets i hear </br> how the curse of the young prostitute </br> breath the newborn's tear </br> and withers the wedding hearse with wounds	annoyance, sadness
i carry your heart with me i carry it </br> my heart i'm never without him nowhere </br> i will you go my dear and all that is done </br> it's only me that you do my darling </br> i fear	beauty/joy
bright burning tyger tyger </br> in the night forests </br> what an immortal hand or eyes </br> could frame your terrible symmetry	awe/sublime, beauty/joy
sunset and evening star </br> and a clear call for me </br> and can there be any moan from the bar </br> when i go to sea	vitality, beauty/joy
what passion cannot uplift and appease music </br> when the jubal hit the shell okay </br> his brothers who were listening stood around </br> and wonder about their faces fell </br> worship that heavenly sound </br> less than a god they thought he couldn't inhabit </br> in the hollow of this shell </br> who spoke so nicely and so well </br> what passion cannot uplift and appease music	suspense, beauty/joy
how he conquered die </br> on whose forbidden ear </br> the distant stumps of triumph </br> breaking down anguished and clear	sadness
the sun is hot the sky is clear </br> the waves dance fast and shine </br> the blue islands and the snow-capped mountains carry </br> the transparent power of purple midi </br> the breath of the damp earth is light </br> around its unexpanded buds </br> like many voices of one delight </br> the winds the birds the ocean floods </br> the voice of the city itself is sweet like loneliness	vitality, beauty/joy
