nous te remercions </br> god </br> almighty for dying </br> forgive us the life the sin of death	humor, suspense
when instead of stopping to think you	humor, suspense
flash d all their sabres bare </br> flash d as they turn d in air </br> sabrant les artilleurs là-bas </br> charge an army in </br> everyone is wondering </br> plongé dans la fumée de la batterie </br> across the line they broke </br> cossack and russian </br> reel d from the saber stroke </br> shatter d and sunder d </br> then they rode back but not </br> not the six hundred	uneasiness
proclaim sharp violins </br> leurs affres jaloux et leur désespoir </br> fury frantic indignation </br> depth of pain and height of passion </br> for the beautiful disdainful lady	uneasiness
you threw a bed cover </br> you lay upon your back and waited </br> you dozed and watched the night revealing </br> les mille images sordides </br> of which your soul was made up </br> they wobbled against the ceiling </br> and when everyone came back </br> and the light slipped between the shutters </br> and you heard the sparrows in the gutters </br> you had such a vision of the street </br> as the street barely understands </br> sit along the edge of the bed where </br> you curled the papers of your hair </br> ou joint la plante des pieds jaune </br> in the palm of both soiled hands	sadness, uneasiness
"to serve with my creator and present </br> mon vrai compte de peur qu'il ne revienne chide </br> ""dieu lumière exacte du travail diurne refusée"" </br> i fondly ask but patience to prevent"	vitality
take the burden of the white man </br> and reap its old reward </br> the blame of those ye better </br> la haine de ceux que vous gardez </br> the cry of hosts ye humor </br> ah slowly towards the light </br> why did we get out of slavery malaise annoyance vitality malaise our dear egyptian night	vitality, annoyance, uneasiness
happy man and happy him alone </br> celui qui peut appeler aujourd'hui le sien </br> whoever secures the interior can say </br> tomorrow do your worst because i lived today </br> être juste ou grossier ou pleuvoir ou briller </br> the joys i have possessed despite fate are mine </br> not heaven itself over the past has power </br> but what was was and i had my time	awe/sublime, vitality, beauty/joy
i am nobody who are you </br> you are nobody too </br> then there ‘s a pair of us </br> - don't say they would ban us you know	humor
when landlords turn the drunken bee </br> out of the digital door </br> when butterflies give up their dramas </br> i shall but drink the more	vitality, beauty/joy
because often on my couch i lie </br> vacant or pensive mood </br> ils clignotent sur cet œil intérieur </br> which is the bliss of solitude </br> puis mon cœur se remplit de plaisir </br> and dance with the daffodils	beauty/joy
and now hello to our awake souls </br> qui ne se regardent pas par peur </br> par amour tout amour des autres vues contrôles </br> and makes one little room an everywhere </br> let the discoverers of the sea to new worlds </br> leave cards to other worlds on worlds showed </br> let us possess one world each hath one and is one	vitality, beauty/joy
