perfectly natural perfectly </br> putting </br> it mildly lively but	suspense, humor
o captain my captain our fearful trip is done </br> the ship has weather’d every rack the prize we sought is won </br> the port is near the bells i hear the people all exulting </br> while follow eyes the steady keel the vessel grim and daring </br> but o heart heart heart </br> o the bleeding drops of red </br> where on the deck my captain lies </br> fallen cold and dead	sadness, beauty/joy
if you can talk with crowds and keep your virtue </br> or walk with kings—nor lose the common touch </br> if neither foes nor loving friends can hurt you </br> if all men count with you but none too much </br> if you can fill the unforgiving minute </br> with sixty seconds’ worth of distance run </br> yours is the earth and everything that’s in it </br> and—which is more—you’ll be a man my son	awe/sublime, vitality
there was never a sound beside the wood but one </br> and that was my long scythe whispering to the ground </br> what was it it whispered i knew not well myself </br> perhaps it was something about the heat of the sun </br> something perhaps about the lack of sound — </br> and that was why it whispered and did not speak </br> it was no dream of the gift of idle hours </br> or easy gold at the hand of fay or elf </br> anything more than the truth would have seemed too weak </br> to the earnest love that laid the swale in rows </br> not without feeble pointed spikes of flowers </br> pale orchises and scared a bright green snake </br> the fact is the sweetest dream that labor knows </br> my long scythe whispered and left the hay to make	suspense, beauty/joy
i was angry with my friend </br> i told my wrath my wrath did end </br> i was angry with my foe </br> i told it not my wrath did grow	annoyance
wouldn t like	suspense, humor
and i watered it in fears </br> night and morning with my tears </br> and i sunned it with smiles </br> and with soft deceitful wiles	annoyance
half a league half a league </br> half a league onward </br> all in the valley of death </br> rode the six hundred </br> ‘ forward the light brigade ’ </br> ‘ charge for the guns ’ he said </br> into the valley of death </br> rode the six hundred	suspense, uneasiness
happy the man and happy he alone </br> he who can call today his own </br> he who secure within can say </br> tomorrow do thy worst for i have lived today </br> be fair or foul or rain or shine </br> the joys i have possessed in spite of fate are mine </br> not heaven itself upon the past has power </br> but what has been has been and i have had my hour	awe/sublime, beauty/joy, vitality
i was angry with my friend </br> i told my wrath my wrath did end </br> i was angry with my foe </br> i told it not my wrath did grow	annoyance
i was angry with my friend </br> i told my wrath my wrath did end </br> i was angry with my foe </br> i told it not my wrath did grow	annoyance
i was angry with my friend </br> i told my wrath my wrath did end </br> i was angry with my foe </br> i told it not my wrath did grow	annoyance
i felt a funeral in my brain </br> and mourners to and fro </br> kept treading treading till it seemed </br> that sense was breaking through	awe/sublime, sadness
and i watered it in fears </br> night and morning with my tears </br> and i sunned it with smiles </br> and with soft deceitful wiles	annoyance
i m nobody who are you </br> are you nobody too </br> then there ‘ s a pair of us </br> — do n t tell they ‘ d banish us you know	humor
they cannot scare me with their empty spaces </br> between stars on stars where no human race is </br> i have it in me so much nearer home </br> to scare myself with my own desert places	awe/sublime, sadness
but such a tide as moving seems asleep </br> too full for sound and foam </br> when that which drew from out the boundless deep </br> turns again home	sadness, beauty/joy
no fate for you are my fate my sweet i want </br> no world for beautiful you are my world my true </br> and it’s you are whatever a moon has always meant </br> and whatever a sun will always sing is you	beauty/joy
and when they all were seated </br> a service like a drum </br> kept beating beating till i thought </br> my mind was going numb	sadness
o rose thou art sick </br> the invisible worm </br> that flies in the night </br> in the howling storm	sadness, uneasiness
wouldn t like	suspense, humor
to serve therewith my maker and present </br> my true account lest he returning chide </br> “doth god exact day labour light denied ” </br> i fondly ask but patience to prevent	vitality
for tho’ from out our bourne of time and place </br> the flood may bear me far </br> i hope to see my pilot face to face </br> when i have crost the bar	beauty/joy, vitality
and i watered it in fears </br> night and morning with my tears </br> and i sunned it with smiles </br> and with soft deceitful wiles	annoyance
blest who can unconcern dly find </br> hours days and years slide soft away </br> in health of body peace of mind </br> quiet by day	beauty/joy
wouldn t like	suspense, humor
i was angry with my friend </br> i told my wrath my wrath did end </br> i was angry with my foe </br> i told it not my wrath did grow	annoyance
perfectly natural perfectly </br> putting </br> it mildly lively but	suspense, humor
take up the white man s burden </br> send forth the best ye breed </br> go bind your sons to exile </br> to serve your captives need </br> to wait in heavy harness </br> on fluttered folk and wild </br> your new caught sullen peoples </br> half devil and half child </br> take up the white man s burden </br> in patience to abide </br> to veil the threat of terror </br> and check the show of pride </br> by open speech and simple </br> an hundred times made plain </br> to seek another s profit </br> and work another s gain	uneasiness, vitality
happy the man and happy he alone </br> he who can call today his own </br> he who secure within can say </br> tomorrow do thy worst for i have lived today </br> be fair or foul or rain or shine </br> the joys i have possessed in spite of fate are mine </br> not heaven itself upon the past has power </br> but what has been has been and i have had my hour	awe/sublime, beauty/joy, vitality
when can their glory fade </br> o the wild charge they made </br> all the world wondered </br> honor the charge they made </br> honor the light brigade </br> noble six hundred	vitality
take up the white man s burden </br> have done with childish days </br> the lightly proffered laurel </br> the easy ungrudged praise </br> comes now to search your manhood </br> through all the thankless years </br> cold edged with dear bought wisdom </br> the judgement of your peers	annoyance, uneasiness, vitality
the woods around it have it it is theirs </br> all animals are smothered in their lairs </br> i am too absent spirited to count </br> the loneliness includes me unawares	sadness, beauty/joy
his soul stretched tight across the skies </br> that fade behind a city block </br> or trampled by insistent feet </br> at four and five and six o clock </br> and short square fingers stuffing pipes </br> and evening newspapers and eyes </br> assured of certain certainties </br> the conscience of a blackened street </br> impatient to assume the world </br> i am moved by fancies that are curled </br> around these images and cling </br> the notion of some infinitely gentle </br> infinitely suffering thing </br> wipe your hand across your mouth and laugh </br> the worlds revolve like ancient women </br> gathering fuel in vacant lots	awe/sublime, beauty/joy, vitality
whilst skies are blue and bright </br> whilst flowers are gay </br> whilst eyes that change ere night </br> make glad the day </br> whilst yet the calm hours creep </br> dream thou — and from thy sleep </br> then wake to weep	sadness, vitality
how soon hath time the subtle thief of youth </br> stolen on his wing my three and twentieth year </br> my hasting days fly on with full career </br> but my late spring no bud or blossom shew’th </br> perhaps my semblance might deceive the truth </br> that i to manhood am arrived so near </br> and inward ripeness doth much less appear </br> that some more timely happy spirits indu’th </br> yet be it less or more or soon or slow </br> it shall be still in strictest measure even </br> to that same lot however mean or high </br> toward which time leads me and the will of heaven </br> all is if i have grace to use it so </br> as ever in my great task master’s eye	awe/sublime, sadness, vitality
half a league half a league </br> half a league onward </br> all in the valley of death </br> rode the six hundred </br> ‘ forward the light brigade ’ </br> ‘ charge for the guns ’ he said </br> into the valley of death </br> rode the six hundred	suspense, uneasiness
take up the white man s burden </br> ye dare not stoop to less </br> nor call too loud on freedom </br> to cloak your weariness </br> by all ye cry or whisper </br> by all ye leave or do </br> the silent sullen peoples </br> shall weigh your gods and you	sadness, uneasiness, vitality
you tossed a blanket from the bed </br> you lay upon your back and waited </br> you dozed and watched the night revealing </br> the thousand sordid images </br> of which your soul was constituted </br> they flickered against the ceiling </br> and when all the world came back </br> and the light crept up between the shutters </br> and you heard the sparrows in the gutters </br> you had such a vision of the street </br> as the street hardly understands </br> sitting along the bed s edge where </br> you curled the papers from your hair </br> or clasped the yellow soles of feet </br> in the palms of both soiled hands	sadness, uneasiness
wouldn t like	suspense, humor
when instead of stopping to think you	suspense, humor
and i watered it in fears </br> night and morning with my tears </br> and i sunned it with smiles </br> and with soft deceitful wiles	annoyance
earth has not anything to show more fair </br> dull would he be of soul who could pass by </br> a sight so touching in its majesty </br> this city now doth like a garment wear </br> the beauty of the morning silent bare </br> ships towers domes theatres and temples lie </br> open unto the fields and to the sky </br> all bright and glittering in the smokeless air </br> never did sun more beautifully steep </br> in his first splendour valley rock or hill </br> ne’er saw i never felt a calm so deep </br> the river glideth at his own sweet will </br> dear god the very houses seem asleep </br> and all that mighty heart is lying still	awe/sublime, beauty/joy
they are rattling breakfast plates in basement kitchens </br> and along the trampled edges of the street </br> i am aware of the damp souls of housemaids </br> sprouting despondently at area gates	uneasiness
