a shudder inthe the loins engenders there </br> the broken wall the burn roof and tower </br> and agamemnon killed being so caught up </br> so mastered bythe the brute blood of the air </br> did she put on his knowledge wtih his power </br> before the indifferent beak could let she drop	uneasiness
and what shoulder and what art </br> could twist the sinews of thy heart </br> and when thy heart began to beat </br> what dread hand and what dread feet	uneasiness
in vain in vain — the all composing hour </br> resistless falls the muse obeys the pow r </br> she comes she comes the sable throne behold </br> of night primæval and of chaos old </br> before her fancy s gilded clouds decay </br> and all its varying rain bows die away </br> wit shoots in vain its momentary fires </br> the meteor drops and in a flash expires </br> as one by one at dread medea s strain </br> the sick ning stars fade off th ’ ethereal plain </br> as argus ’ eyes by hermes ’ wand opprest </br> clos d one by one to everlasting rest </br> thus at her felt approach and secret might </br> art after art goes out and all is night </br> see skulking truth to her old cavern fled </br> mountains of casuistry heap d o er her head </br> philosophy that lean d on heav n before </br> shrinks to her second cause and is no more </br> physic of metaphysic begs defence </br> and metaphysic calls for aid on sense </br> see mystery to mathematics fly </br> in vain they gaze turn giddy rave and die </br> religion blushing veils her sacred fires </br> and unawares morality expires </br> for public flame nor private dares to shine </br> nor human spark is left nor glimpse divine </br> lo thy dread empire chaos is restor d </br> light dies before thy uncreating word </br> thy hand great anarch lets the curtain fall </br> and universal darkness buries all	suspense, sadness, uneasiness
if you can keep you head when all about you </br> are losing theirs and blaming it onthe you </br> if you can trust yourself when all women doubt you </br> although make allowance for their doubting too </br> if you can wait and not be tired bythe waiting </br> or being lied about don’t deal inthe lies </br> or being hated don’t give ways to hating </br> and not don’t look too good nor talk too wise	vitality, beauty/joy
let the world s sharpness really a clasping knife </br> shut inthe upon itself and do no harm </br> in this close hand of loved now soft and warm </br> and let us heard no sound of human strife </br> before the click of the shutting life to life — </br> i lean upon thy dear without alarm </br> and feel as safe as guarded bythe a charm </br> against the stab of worldlings who unless rife </br> were weak to injure very whitely still </br> the lilies of we lives may reassure </br> their blossoms fromthe their roots accessible </br> alone to heavenly dews it drop not fewer </br> growing straight out of man s reach onthe the hill </br> god only who made us rich could make us poor	awe/sublime, beauty/joy
i met a traveller from an antique land </br> who said two vast and trunkless legs of stone </br> stand in the desert near them on the sand </br> half sunk a shattered visage lies whose frown </br> and wrinkled lip and sneer of cold command </br> tell that its sculptor well those passions read </br> which yet survive stamped on these lifeless things </br> the hand that mocked them and the heart that fed </br> and on the pedestal these words appear </br> ‘ my name is ozymandias king of kings </br> look on my works ye mighty and despair ’ </br> nothing beside remains round the decay </br> of that colossal wreck boundless and bare </br> the lone and level sands stretch far away	suspense, sadness, uneasiness
my hearts leaps up when i behold </br> a rainbow inthe the sky </br> so is it when my life began </br> so is it still i am a man </br> so be it when i shall grow yearold </br> or let us die </br> this child is father of the man </br> and i would wish my days to be </br> bound each to each bythe natural piety	vitality, beauty/joy
music when soft voices perish </br> vibrates inthe the memory — </br> odours when sweetness violets sicken </br> live within this sense they quicken	sadness, beauty/joy
death unless death </br> are </br> good forthe	humor, suspense
cannon to right of them </br> cannon to leaving of them </br> cannon inthe front of them </br> volleyed d and thunder d </br> storm d at wtih shot and shell </br> boldly we rode and well </br> into the jaws of deaths </br> into this mouth of hell </br> rode this six hundred	vitality, uneasiness
yet now despair itself was mild </br> even well the winds and waters are </br> i would lie down like a tired child </br> and weep away the lives of care </br> the i have borne and yet must bear </br> till death like sleep might steal onthe me </br> and i might feel inthe the warm air </br> my cheek grow cold and heard the sea </br> breathe o er my dying brain itself last monotony	sadness
the brown waves of fog toss up to us </br> twisted face from the bottom of the street </br> and tear from a passer by wtih muddy skirts </br> an aimless smile that hovers inthe the air </br> and vanishes along the level of the roofs	sadness, uneasiness
