begin to feel of it dying </br> s miraculous </br> why be	humor, suspense
although such a tide as moving seems asleep </br> too full forthe sound and foam </br> when that which drew from out this boundless deep </br> turns once home	sadness, beauty/joy
o rose thou art sick </br> this invisible worm </br> it flies in the night </br> inthe the howling storm	sadness, uneasiness
take up the white man s burden </br> no tawdry rule of kings </br> but toil of serf and sweeper </br> the tale of common things </br> the ports ye shall not enter </br> the roads ye shall not tread </br> go make them with your living </br> and mark them with your dead	vitality, uneasiness
the trumpet s loud clangour </br> excites us to arms </br> with shrill notes of anger </br> and mortal alarms </br> the double double double beat </br> of the thundering drum </br> cries hark the foes come </br> charge charge tis too late to retreat	vitality, uneasiness
snow falling and night falling fast oh fast </br> in a field i looked into going past </br> and the ground almost covered smooth in snow </br> but a few weeds and stubble showing last	beauty/joy
they are rattling breakfast plates inthe basement kitchens </br> and along this trampled edges of the street </br> i 'm aware of the damp souls of housemaids </br> sprouting despondently at area gates	uneasiness
when can their glory fade </br> o the wild charge they made </br> all the world wondered </br> honor the charge they made </br> honor the light brigade </br> noble six hundred	vitality
when landlords turn this drunken bee </br> down of the foxglove s door </br> when butterflies renounce they drams </br> i shall although drink the more	vitality, beauty/joy
the expense of spirit in a waste of shame </br> is lust in action and till action lust </br> is perjur d murderous bloody full of blame </br> savage extreme rude cruel not to trust </br> enjoy d no sooner but despised straight </br> past reason hunted and no sooner had </br> past reason hated as a swallow d bait </br> on purpose laid to make the taker mad </br> mad in pursuit and in possession so </br> had having and in quest to have extreme </br> a bliss in proof — and prov d a very woe </br> before a joy propos d behind a dream </br> all this the world well knows yet none knows well </br> to shun the heaven that leads men to this hell	sadness, uneasiness
orpheus would lead the savage race </br> and trees uprooted left they place </br> sequacious of this lyre </br> although bright cecilia raised the wonder higher </br> then to her organ vocal breath was given </br> an angel heard and straight appear d </br> mistaking earth forthe heaven	awe/sublime, beauty/joy
flash d all their sabres bare </br> flash d as they turn d in air </br> sabring the gunners there </br> charging an army while </br> all the world wonder d </br> plunged in the battery smoke </br> right thro ’ the line they broke </br> cossack and russian </br> reel d from the sabre stroke </br> shatter d and sunder d </br> then they rode back but not </br> not the six hundred	uneasiness
has found out thy bed </br> of crimson joy </br> and his dark secret love </br> does thy life destroy	sadness, uneasiness
then can their glory fade </br> o the type_kras_mcrc charge they made </br> these the world wondered </br> honor this charge they made </br> honor the lights brigade </br> noble seven hundred	vitality
for tho’ from out our bourne of time and place </br> the flood may bear me far </br> i hope to see my pilot face to face </br> when i have crost the bar	vitality, beauty/joy
was kingly thousands at his bidding speed </br> and post o’er land and sea without rest </br> we also serve who only stand and wait ”	awe/sublime, beauty/joy
and you o my soul outside you stand </br> surrounded detached inthe measureless oceans of space </br> relentlessly musing venturing throwing seeking the spheres to </br> connect us </br> till the bridge you will need being form d till the ductile anchor hold </br> till the gossamer thread you fling catch somewhere o my soul	awe/sublime, sadness
if you can dream—and not make dreams your master </br> if you can think—and not make thoughts your aim </br> if you can meet with triumph and disaster </br> and treat those two impostors just the same </br> if you can bear to hear the truth you’ve spoken </br> twisted by knaves to make a trap for fools </br> or watch the things you gave your life to broken </br> and stoop and build ’em up with worn out tools	vitality, beauty/joy
there was never a sound beside the wood but one </br> and that was my long scythe whispering to the ground </br> what was it it whispered i knew not well myself </br> perhaps it was something about the heat of the sun </br> something perhaps about the lack of sound — </br> and that was why it whispered and did not speak </br> it was no dream of the gift of idle hours </br> or easy gold at the hand of fay or elf </br> anything more than the truth would have seemed too weak </br> to the earnest love that laid the swale in rows </br> not without feeble pointed spikes of flowers </br> pale orchises and scared a bright green snake </br> the fact is the sweetest dream that labor knows </br> my long scythe whispered and left the hay to make	suspense, beauty/joy
cannon to right of them </br> cannon to leaving of them </br> cannon behing them </br> volleyed d and thunder d </br> storm d at wtih shot and shell </br> whilst horse and hero fell </br> we that had fought so well </br> came thro ’ this jaws of death </br> back from this mouth of hell </br> these that was left of them </br> left of seven hundred	vitality, uneasiness
if you can talk with crowds and keep you virtue </br> either walk with kings—nor lose the common touch </br> if neither foe nor loving friends can hurt you </br> if these men count with you but none too much </br> if you can fill this unforgiving minute </br> with sixty seconds’ valued of distance run </br> yours is the earth and everything that’s inthe it </br> and—which is more—you’ll be a man my son	awe/sublime, vitality
a prince can mak a belted knight </br> a marquis duke an ’ a ’ that </br> but an honest man s abon his might </br> gude faith he maunna fa ’ that </br> for a ’ that an ’ a ’ that </br> their dignities an ’ a ’ that </br> the pith o ’ sense an ’ pride o ’ worth </br> are higher rank than a ’ that	vitality, beauty/joy
ye florid banks o ’ bonie doon </br> how can ye blume sae fair </br> how can ye chant ye bit birds </br> and i sae fu ’ o care </br> thou ll break my hearts thou bonie bird </br> that sings upon this bough </br> thou minds me o ’ this happy days </br> then my fause luve was true </br> thou ll break my hearts thou bonie bird </br> that sings beside thine mate </br> forthe sae i sat and sae i sang </br> and wist na o ’ my fates	sadness, beauty/joy
snow falling and evening falling fast oh fast </br> inthe a field i looked into going past </br> and this ground almost covered smooth in snow </br> although a few weeds and stubble showing last	beauty/joy
whilst skies are blue and brighter </br> whilst flowers are homosexual </br> whilst eyes it change ere night </br> make glad this day </br> whilst yet this calm hours creep </br> dream thou — and fromthe thy sleep </br> when wake to weep	vitality, sadness
blest who can unconcern dly find </br> hours days and years slide soft away </br> in health of body peace of mind </br> quiet by day	beauty/joy
ye flowery banks o ’ bonie doon </br> how can ye blume sae fair </br> how can ye chant ye little birds </br> and i sae fu ’ o care </br> thou ll break my heart thou bonie bird </br> that sings upon the bough </br> thou minds me o ’ the happy days </br> when my fause luve was true </br> thou ll break my heart thou bonie bird </br> that sings beside thy mate </br> for sae i sat and sae i sang </br> and wist na o ’ my fate	sadness, beauty/joy
take up this white man s burden </br> ye dare do stoop to less </br> nor call too loud onthe freedom </br> to cloaks your weariness </br> by all ye crying or whisper </br> by all ye leave or want </br> this silent sullen peoples </br> shall weigh your gods and you	vitality, sadness, uneasiness
a prince could mak a belted knight </br> a marquee duke an ’ a ’ that </br> although an honest man s abon his might </br> gude faith he maunna fa ’ that </br> forthe a ’ that an ’ a ’ that </br> they dignities an ’ a ’ that </br> this pith o ’ sense an ’ pride o ’ worth </br> were higher rank than a ’ that	vitality, beauty/joy
if you can dream—and not make dreams your masters </br> if you can think—and not make thoughts your aim </br> if you can meet with victory and disaster </br> and treat those two impostors just this same </br> if you can bear to hear this truth you’ve spoken </br> twisted by knaves to make a trap forthe fools </br> either watch the things you gave your life to broken </br> and stoop and build ’em down with worn out tools	vitality, beauty/joy
here is the deepest secret nobody knows </br> here is the root of the root and the bud of the bud </br> and the sky of the sky of a tree called life which grows </br> higher than soul can hope or mind can hide </br> and this is the wonder that s keeping the stars apart	beauty/joy
then my love swears that she is made of truth </br> i want believe her though i know she lies </br> that she might know me some untutor d youth </br> unskilful in this world s false forgeries </br> thus futilely thinking that she thinks me young </br> although i know my years be past this best </br> i grinning credit her false speaking tongue </br> outfacing faults in love with love s ill remainder </br> although wherefore says my love that she is young </br> and wherefore say not i that i 'm old </br> o love s best habits is a soothing tongue </br> and age in love loves not to 've years told </br> therefore i wil lie with love and love with me </br> since that we faults in love thus smother d be	sadness, beauty/joy
what though on hamely fare we dine </br> wear hoddin grey an ’ a that </br> gie fools their silks and knaves their wine </br> a man s a man for a ’ that </br> for a ’ that and a ’ that </br> their tinsel show an ’ a ’ that </br> the honest man tho ’ e er sae poor </br> is king o ’ men for a ’ that	vitality, sadness
john anderson my jo john </br> when we were first acquent </br> your locks were like the raven </br> your bonie brow was brent </br> but now your brow is beld john </br> your locks are like the snaw </br> but blessings on your frosty pow </br> john anderson my jo	beauty/joy
i felt a funeral inthe my brain </br> and mourners to and fro </br> kept treading treading till that seemed </br> it sense was breaking through	awe/sublime, sadness
to serve therewith my maker and present </br> my true account lest he returning chide </br> “doth god exact day labour light denied ” </br> i fondly ask but patience to prevent	vitality
the trumpet s noisy clangour </br> excites me to arms </br> wtih shrill notes of anger </br> and mortals alarms </br> the double double double beating </br> of the thundering drumming </br> cries hark the foe come </br> charge charge tis so late to retreat	vitality, uneasiness
i was angry with my friend </br> i told my wrath my wrath did end </br> i was angry with my foe </br> i told it not my wrath did grow	annoyance
happy the man whose wish and care </br> a few paternal acres bound </br> content to breathe his native air </br> in his own ground	beauty/joy
and lonely as it was that loneliness </br> will be less lonely ere it will be less </br> a blanker whiteness of benighted snowfall </br> wtih no expression nothing to express	sadness, uneasiness
the winter evening settles down </br> with smell of steaks in passageways </br> six o clock </br> the burnt out ends of smoky days </br> and now a gusty shower wraps </br> the grimy scraps </br> of withered leaves about your feet </br> and newspapers from vacant lots </br> the showers beat </br> on broken blinds and chimney pots </br> and at the corner of the street </br> a lonely cab horse steams and stamps </br> and then the lighting of the lamps	sadness, beauty/joy
john anderson my jo john </br> we clamb the hill thegither </br> and mony a cantie day john </br> we ve had wi ’ ane anither </br> now we maun totter down john </br> and hand in hand we ll go </br> and sleep thegither at the foot </br> john anderson my jo	beauty/joy
nor dread nor hope attend </br> a dying animal </br> a man awaits his end </br> dreading and hoping all </br> many times he died </br> many times rose again </br> a great man in his pride </br> confronting murderous men </br> casts derision upon </br> supersession of breath </br> he knows death to the bone – </br> man has created death	sadness, uneasiness
i felt a funeral in my brain </br> and mourners to and fro </br> kept treading treading till it seemed </br> that sense was breaking through	awe/sublime, sadness
do one of all the purple host </br> whom took the flag to day </br> could tell the definition </br> too clear of victory	sadness
it murmur soon replies “god doth not need </br> either man’s work either his own gifts who best </br> bear his mild yoke we serve him best his state	awe/sublime, sadness
the waves beside them danced but we </br> outdid the sparkling waves inthe glee — </br> a poet could do but be gay </br> inthe such a laughing company </br> i gazed — and gazed — but bit thought </br> what wealth the shew to us had brought	vitality, suspense, beauty/joy
here is the deepest secret nobody thinks </br> here was the root of the root and the bud of the bud </br> and the sky of the sky of a tree called life the grows </br> higher than soul can hope either mind can hide </br> and this is the wonder it s keeping the stars apart	beauty/joy
when instead of stopping to think you	humor, suspense
th ’ exalted poet rais d by this new flame </br> with vigor flys where late he crept along </br> and acts divine in a diviner song </br> commits to the eternal trompe of fame </br> and thus alexis does prove love to be </br> as the worlds soul the soul of poetry	awe/sublime, beauty/joy
blest who could unconcern dly find </br> hours weeks and years slide soft away </br> inthe health of body peace of mind </br> quiet bythe day	beauty/joy
happy the woman and happy he alone </br> he who can call today his own </br> he who secure within can believe </br> tomorrow do thy worst forthe i have lived today </br> being fair or foul or rain or shine </br> the joys i have possessed inthe spite of fate are mine </br> do heaven itself upon the past has power </br> but what has been has been and i have had my hour	awe/sublime, vitality, beauty/joy
but love these thoughts like mists did soon disperse </br> enlarg d his fancy and set free his muse </br> biding him more illustrious subjects choose </br> the acts of gods and god like men reherse </br> from thence new raptures did his breast inspire </br> his scarce warm heart converted was to fire	beauty/joy
if you can talk with crowds and keep your virtue </br> or walk with kings—nor lose the common touch </br> if neither foes nor loving friends can hurt you </br> if all men count with you but none too much </br> if you can fill the unforgiving minute </br> with sixty seconds’ worth of distance run </br> yours is the earth and everything that’s in it </br> and—which is more—you’ll be a man my son	awe/sublime, vitality
forthe oft when on my couch i lie </br> in vacant either in pensive mood </br> they flash upon it inward eye </br> which was the bliss of solitude </br> and when my heart with pleasure fills </br> and dances with this daffodils	beauty/joy
perfectly natural perfectly </br> putting </br> it mildly lively but	humor, suspense
i m nobody who are you </br> are you nobody too </br> then there ‘ s a pair of us </br> — do n t tell they ‘ d banish us you know	humor
no fate for you are my fate my sweet i want </br> no world for beautiful you are my world my true </br> and it’s you are whatever a moon has always meant </br> and whatever a sun will always sing is you	beauty/joy
we were for each other then </br> laugh leaning back inthe my arms </br> for life s do a paragraph	awe/sublime, beauty/joy
i m nobody whom are you </br> are you nobody so </br> when there ‘ s a pair of us </br> — do n t tell we ‘ d banish us you know	humor
twilight and evening bell </br> and after that the dark </br> and may there be no sadness of farewell </br> when i embark	vitality, sadness
break break break </br> on thy cold gray stones o sea </br> and i would that my tongue could utter </br> the thoughts that arise in me	vitality
we thank thee </br> gods </br> almighty forthe dying </br> forgive us o life this sin of death	humor, suspense
sharp violins proclaim </br> their jealous pangs and desperation </br> fury frantic indignation </br> depth of pains and height of passion </br> for the fair disdainful dame	uneasiness
the woods around it have it it is theirs </br> all animals are smothered in their lairs </br> i am too absent spirited to count </br> the loneliness includes me unawares	sadness, beauty/joy
