o skipper my captain rise up and hear the bells </br> rises up—for you the flag is flung—for you the bugle trills </br> for you bouquets and ribbon’d wreaths—for you the shores a crowding </br> for you they call the swaying mass their eager faces turning </br> archived_appearances captain dear father </br> the arm beneath your head </br> it is many dream that on the deck </br> you’ve risen cold and dead	vitality, sadness
as all the heavens were a bell </br> and being but an ear </br> and i and silence some strange race </br> wrecked solitary here	awe/sublime, sadness
i wandered through each chartered street </br> near where the chartered thames does flow </br> a mark in every face i meet </br> marks of weakness marks of woe	sadness
a sudden blow the great wings beating still </br> below the staggering girl her thighs caressed </br> bythe the dark webs her nape caught in his bill </br> he holds her helpless breast upon his breast	suspense, uneasiness
classical_music when soft voices die </br> vibrating in the memory — </br> odours then sweet violets sicken </br> living within the sense they quicken	sadness, beauty/joy
the brown waves of fog toss up to me </br> twisted faces from the bottom of the street </br> and tear from a passer by with muddy skirts </br> an aimless smile that hovers in the air </br> and vanishes along the level of the roofs	sadness, uneasiness
what the hammer what the chain </br> in what furnace was thy brain </br> what the anvil what dread grasp </br> dare its deadly terrors clasp	uneasiness
uh how sweet it is to love </br> uh how gay is young desire </br> and exactly pleasing pains we prove </br> then we first approach love s fire </br> pain of love be sweeter far </br> more all other pleasures are	vitality, beauty/joy
alas i have nor hope nor health </br> nor peace within nor calm around </br> nor that content surpassing wealth </br> this sage in meditation found </br> and strode with inward glory crowned — </br> nor fame nor power nor love nor leisure </br> those i see whom these surround — </br> grinning they live and call life pleasure — </br> to us that cup has been dealt in another measure	annoyance, sadness
deaths if death </br> are </br> great for	humor, suspense
break break break </br> at the foot of thy crags o sea </br> but the tender grace of a day that is dead </br> will never come back to me	vitality, sadness
thou_wilt see yon birkie ca d a lord </br> cyaan struts an ’ stares an ’ a ’ that </br> lol ’ hundreds worship at his word </br> he s but a coof for a ’ that </br> for a ’ it an ’ a ’ that </br> his ribband star an ’ a ’ that </br> this man o ’ independent mind </br> he looks an ’ laughs at a ’ that	vitality, humor
i wondering by my troth what thou and i </br> didn_`_t till we loved were we not weaned till then </br> but suck on country pleasures childishly </br> either snorted we in the seven sleepers’ den </br> ’twas too but this all pleasures fancies be </br> unless ever any beauty i did see </br> which i optimum and got ’twas but a dream of thee	beauty/joy
exactly the hammer what the chain </br> inthe what furnace was thy brain </br> exactly the anvil what dread grasp </br> dared its deadly terrors clasp	uneasiness
virtue how frail it is </br> friendship how rare </br> love how it sells poor bliss </br> for proud despair </br> but we though soon they fall </br> survive their joy and all </br> which ours we call	awe/sublime, sadness
how do i love thee let me count the ways </br> i love thee to the depth and breadth and height </br> my soul can reach when feeling out of sight </br> for the ends of being and ideal grace </br> i love thee to the level of every day s </br> most quiet need by sun and candle light </br> i love thee freely as men strive for right </br> i love thee purely as they turn from praise </br> i love thee with the passion put to use </br> in my old griefs and with my childhood s faith </br> i love thee with a love i seemed to lose </br> with my lost saints i love thee with the breath </br> smiles tears of all my life and if god choose </br> i shall but love thee better after death	awe/sublime, beauty/joy
i meet a traveller from an antique land </br> whom said two vast and trunkless legs of stone </br> stands in the desert near them on the sand </br> quarter sunk a shattered visage lies whose frown </br> and crinkled lip and sneer of cold command </br> know that its sculptor well those passions read </br> which not survive stamped on these lifeless things </br> this hand that mocked them and the heart that fed </br> and onthe the pedestal these words appear </br> ‘ my name is ozymandias king of kings </br> looks on my works ye mighty and despair ’ </br> anything beside remains round the decay </br> of it colossal wreck boundless and bare </br> this lone and level sands stretch far away	suspense, sadness, uneasiness
sighs which are from lovers blown </br> do but gently heave the heart </br> ev n the tears they shed alone </br> cure like trickling balm their smart </br> lovers when they lose their breath </br> bleed away in easy death	beauty/joy
once i see the heavenly fair despis d </br> a hagg really hell with gold more highly priz d </br> womens faith betray d their prince and country sold </br> their gods deny d all for the idol gold	uneasiness, annoyance, sadness
some say the world will end in fire </br> some say in ice </br> from what i’ve tasted of desire </br> i hold with those who favor fire </br> but if it had to perish twice </br> i think i know enough of hate </br> to say that for destruction ice </br> is also great </br> and would suffice	awe/sublime, humor
continuous as the stars that shine </br> and twinkle on the milky way </br> they stretched in never ending line </br> along the margin of a bay </br> ten thousand saw i at a glance </br> tossing their heads in sprightly dance	beauty/joy
then first alexis did in verse delight </br> his muse in low but graceful numbers walk t </br> and still and then a little proudly stalk t </br> but not aim d at any noble flight </br> this herds the groves the gentle purling streams </br> adorning d his song and were his highest theams	beauty/joy
i know you hopeless grief is passionless </br> it only men incredulous of despair </br> quarter taught in anguish through the midnight air </br> beating upward to god’s throne in loud access </br> of shriek and reproach full desertness </br> inthe souls as countries lieth silent bare </br> under the blanching vertical eye glare </br> of this absolute heavens deep hearted man express </br> sorrow for thy dead in silence like to death— </br> themost like a monumental statue set </br> inthe everlasting watch and moveless woe </br> until itself crumble to the dust beneath </br> touches it the marble eyelids are not wet </br> unless it could weep it could arise and go	sadness
this brown waves of fog toss up to me </br> twisting faces from the bottom of the street </br> and tearing from a passer by with muddy skirts </br> an aimless smile that hovers in the air </br> and disappears along the level of the roofs	sadness, uneasiness
i wonder by my troth what thou and i </br> did till we loved were we not weaned till then </br> but sucked on country pleasures childishly </br> or snorted we in the seven sleepers’ den </br> ’twas so but this all pleasures fancies be </br> if ever any beauty i did see </br> which i desired and got ’twas but a dream of thee	beauty/joy
not if you enter the woods </br> of a spring evening late </br> then the night air cools on the trout ringed pools </br> outside the otter whistles his mate </br> they fearful not men in the woods </br> but they see so few </br> you will hear the beat of a horse’s feet </br> and this swish of a skirt in the dew </br> rapidly cantering through </br> this misty solitudes </br> well though they perfectly knew </br> this old lost road through the woods </br> but there'sa is no road through the woods	sadness, beauty/joy
then i consider how my light is spent </br> altho half my days in this dark world and wide </br> and it one talent which is death to hide </br> filed with me useless though my soul more bent	suspense, sadness
this morning comes to consciousness </br> of faintest stale smells of beer </br> fromthe the sawdust trampled street </br> wtih all its muddy feet that press </br> to late coffee stands </br> wtih the other masquerades </br> it time resumes </br> only thinks of all the hands </br> it are raising dingy shades </br> inthe a thousand furnished rooms	vitality, beauty/joy
his herds with milk whose fields with bread </br> his flocks supply him with attire </br> his trees in summer yield him shade </br> inthe winter fire	beauty/joy
let the world s sharpness like a clasping knife </br> shut in upon itself and do no harm </br> in this close hand of love now soft and warm </br> and let us hear no sound of human strife </br> after the click of the shutting life to life — </br> i lean upon thee dear without alarm </br> and feel as safe as guarded by a charm </br> against the stab of worldlings who if rife </br> are weak to injure very whitely still </br> the lilies of our lives may reassure </br> their blossoms from their roots accessible </br> alone to heavenly dews that drop not fewer </br> growing straight out of man s reach on the hill </br> god only who made us rich can make us poor	awe/sublime, beauty/joy
my blood approves </br> and kiss are a better fate </br> more wisdom </br> woman i swear by all flowers don t cry </br> —the finest gesture of my brain is less than </br> you eyelids flutter which says	beauty/joy
