some might lament that i were cold </br> as i when this sweet day is gone </br> which my lost heart too soon grown old </br> insults with this untimely moan </br> they might lament — for i am one </br> whom men love not — and yet regret </br> unlike this day which when the sun </br> shall on its stainless glory set </br> will linger though enjoyed like joy in memory yet	sadness
love like spring tides full and high </br> swells in every youthful vein </br> but each tide does less supply </br> till they quite shrink in again </br> if a flow in age appear	sadness
Spielt denn dies ernste Spiel weil es die Zeit noch leidet </br> und lernt dass wenn man vom Bankett des Lebens scheidet </br> Kron Weisheit Stärk und Gut sei eine leere Pracht	awe/sublime
bright star would i were stedfast as thou art— </br> not in lone splendour hung aloft the night </br> and watching with eternal lids apart </br> like nature’s patient sleepless eremite </br> the moving waters at their priestlike task </br> of pure ablution round earth’s human shores </br> or gazing on the new soft fallen mask </br> of snow upon the mountains and the moors— </br> no—yet still stedfast still unchangeable </br> pillow’d upon my fair love’s ripening breast </br> to feel for ever its soft fall and swell </br> awake for ever in a sweet unrest </br> still still to hear her tender taken breath </br> and so live ever—or else swoon to death	awe/sublime, sadness, beauty/joy, vitality
ye see yon birkie ca d a lord </br> wha struts an ’ stares an ’ a ’ that </br> tho ’ hundreds worship at his word </br> he s but a coof for a ’ that </br> for a ’ that an ’ a ’ that </br> his ribband star an ’ a ’ that </br> the man o ’ independent mind </br> he looks an ’ laughs at a ’ that	vitality, humor
An einem Fenster klebt ein fetter Mann </br> Ein Jüngling will ein weiches Weib besuchen </br> Ein grauer Clown zieht sich die Stiefel an </br> Ein Kinderwagen schreit und Hunde fluchen	uneasiness, humor
yet if you enter the woods </br> of a summer evening late </br> when the night air cools on the trout ringed pools </br> where the otter whistles his mate </br> they fear not men in the woods </br> because they see so few </br> you will hear the beat of a horse’s feet </br> and the swish of a skirt in the dew </br> steadily cantering through </br> the misty solitudes </br> as though they perfectly knew </br> the old lost road through the woods </br> but there is no road through the woods	sadness, beauty/joy
and the stately ships go on </br> to their haven under the hill </br> but o for the touch of a vanish d hand </br> and the sound of a voice that is still	beauty/joy, vitality
Es trat an den Wagen ein Korporal </br> Und frug uns wie wir hießen </br> »Ich heiße Niemand bin Augenarzt </br> Und steche den Star den Riesen «	suspense
success is counted sweetest </br> by those who ne er succeed </br> to comprehend a nectar </br> requires sorest need	beauty/joy
since feeling is first </br> who pays any attention </br> to the syntax of things </br> will never wholly kiss you </br> wholly to be a fool </br> while spring is in the world	sadness
music when soft voices die </br> vibrates in the memory — </br> odours when sweet violets sicken </br> live within the sense they quicken	sadness, beauty/joy
my captain does not answer his lips are pale and still </br> my father does not feel my arm he has no pulse nor will </br> the ship is anchor’d safe and sound its voyage closed and done </br> from fearful trip the victor ship comes in with object won </br> exult o shores and ring o bells </br> but i with mournful tread </br> walk the deck my captain lies </br> fallen cold and dead	sadness, vitality
Als wär ich nur ein kleiner Schlagmotor </br> So lass ich meine Arme federnd flitzen </br> Die glühnde Luft sticht wie mit giftigen Spitzen </br> Immer von neuem bricht der Schweiß hervor	annoyance, uneasiness
and then i heard them lift a box </br> and creak across my soul </br> with those same boots of lead again </br> then space began to toll	sadness
the brown waves of fog toss up to me </br> twisted faces from the bottom of the street </br> and tear from a passer by with muddy skirts </br> an aimless smile that hovers in the air </br> and vanishes along the level of the roofs	sadness, uneasiness
cannon to right of them </br> cannon to left of them </br> cannon in front of them </br> volley d and thunder d </br> storm d at with shot and shell </br> boldly they rode and well </br> into the jaws of death </br> into the mouth of hell </br> rode the six hundred	uneasiness, vitality
Reißt die Kreuze aus der Erden </br> Alle sollen Schwerter werden </br> Gott im Himmel wird s verzeihn </br> Gen Tyrannen und Philister </br> Auch das Schwert hat seine Priester </br> Und wir wollen Priester sein	annoyance, uneasiness
i taste a liquor never brewed </br> from tankards scooped in pearl </br> not all the vats upon the rhine </br> yield such an alcohol	beauty/joy, vitality
Über sturmzerfetzter Wolken Widerschein </br> In des toten Dunkels kalten Wüstenein </br> Daß er mit dem Brande weit die Nacht verdorr </br> Pech und Feuer träufet unten auf Gomorrh	awe/sublime, uneasiness
Reißt die Kreuze aus der Erden </br> Alle sollen Schwerter werden </br> Gott im Himmel wird s verzeihn </br> Laßt o laßt das Verseschweißen </br> Auf den Amboß legt das Eisen </br> Heiland soll das Eisen sein	annoyance, uneasiness
of all the poisons that the fruitful earth </br> e er yet brought forth or monsters she gave birth </br> nought to mankind has e er so fatal been </br> as thou accursed gold their care and sin	annoyance
